index,wavelength,intensityRaw,intensityProcessed
0,323.8008446189192,0.006274509803921568,0.030798747397153697
1,324.03936250800274,0.0049673202614379085,0.030359216557467105
2,324.2778803970863,0.004705882352941177,0.029933376030945338
3,324.5163982861699,0.00522875816993464,0.029594592761460144
4,324.75491617525347,0.006797385620915033,0.02937262390692013
5,324.993434064337,0.008627450980392156,0.02925857060393288
6,325.23195195342055,0.006013071895424836,0.029236326976137428
7,325.47046984250414,0.006013071895424836,0.029298688526326597
8,325.70898773158774,0.006013071895424836,0.029434350938367545
9,325.9475056206713,0.005751633986928104,0.029615399953115715
10,326.1860235097548,0.005490196078431373,0.0297914990315009
11,326.4245413988384,0.005751633986928104,0.029903945030931963
12,326.663059287922,0.006013071895424836,0.029905171799020917
13,326.90157717700555,0.006274509803921568,0.0297767140320465
14,327.1400950660891,0.006143790849673202,0.029549610269297106
15,327.3786129551727,0.006274509803921567,0.0292987294415481
16,327.6171308442563,0.004967320261437908,0.029115733984420925
17,327.8556487333398,0.0053594771241830055,0.02907201920474589
18,328.09416662242336,0.006405228758169933,0.029186565280897258
19,328.33268451150695,0.007712418300653594,0.029432631247485345
20,328.57120240059055,0.007581699346405228,0.029761248133025397
21,328.8097202896741,0.00784313725490196,0.030126823510344177
22,329.04823817875763,0.00718954248366013,0.030493779137797987
23,329.2867560678412,0.006535947712418301,0.030822616746014123
24,329.5252739569248,0.006928104575163398,0.031062160883269747
25,329.76379184600836,0.006535947712418299,0.03118294764049109
26,330.0023097350919,0.006535947712418301,0.03119804997855065
27,330.2408276241755,0.006535947712418301,0.03116567457274913
28,330.4793455132591,0.006535947712418301,0.03115142522348908
29,330.71786340234263,0.006535947712418301,0.031195541871870004
30,330.95638129142617,0.006535947712418301,0.031306449241237905
31,331.19489918050976,0.006274509803921568,0.03146307493076531
32,331.4334170695933,0.006535947712418301,0.03163068144810563
33,331.6719349586769,0.005490196078431372,0.03178786002073899
34,331.91045284776044,0.004967320261437908,0.03192927078976844
35,332.14897073684403,0.006013071895424836,0.03205398160181304
36,332.38748862592763,0.006535947712418301,0.032138944228972705
37,332.62600651501117,0.008104575163398693,0.032144737611525746
38,332.8645244040947,0.007581699346405228,0.03205429085641855
39,333.1030422931783,0.006535947712418301,0.03189488303514386
40,333.34156018226184,0.006797385620915033,0.03171498930588419
41,333.58007807134544,0.006797385620915033,0.03155245421231719
42,333.818595960429,0.006797385620915033,0.031414560814414676
43,334.0571138495126,0.006797385620915033,0.03129861819690577
44,334.29563173859617,0.006535947712418301,0.03120756853154028
45,334.5341496276797,0.006535947712418301,0.031155209046123802
46,334.77266751676325,0.006535947712418301,0.031162829924481522
47,335.01118540584685,0.006535947712418301,0.031249709364576956
48,335.2497032949304,0.006666666666666667,0.03142558650741339
49,335.488221184014,0.006274509803921568,0.031687186274975396
50,335.7267390730975,0.006274509803921568,0.03200233010804664
51,335.9652569621811,0.006535947712418301,0.03230897322464476
52,336.20377485126465,0.006405228758169935,0.03252757756928627
53,336.44229274034825,0.006666666666666667,0.0325991601806052
54,336.6808106294318,0.006666666666666667,0.032526296250369534
55,336.9193285185154,0.006274509803921569,0.032380140576295416
56,337.1578464075989,0.006535947712418301,0.03227010218222784
57,337.3963642966825,0.006535947712418301,0.03230141051477031
58,337.63488218576606,0.006274509803921568,0.032526685766529805
59,337.87340007484966,0.006535947712418301,0.03293050115154912
60,338.1119179639332,0.006666666666666665,0.03342511696753229
61,338.35043585301673,0.006666666666666665,0.033875324134575495
62,338.58895374210033,0.006666666666666665,0.03414457725086829
63,338.8274716311839,0.00588235294117647,0.034140541944786
64,339.06598952026746,0.009150326797385621,0.03384546150120375
65,339.30450740935106,0.008235294117647058,0.033332109288209816
66,339.5430252984346,0.008104575163398693,0.032735219306815486
67,339.7815431875182,0.0071895424836601295,0.03220307537930537
68,340.02006107660173,0.006405228758169935,0.03184177166136995
69,340.2585789656853,0.006143790849673202,0.03169177832512637
70,340.49709685476887,0.006013071895424836,0.031737878395314355
71,340.73561474385247,0.006013071895424836,0.0319156772306769
72,340.974132632936,0.006013071895424836,0.032122453565196676
73,341.21265052201954,0.006013071895424836,0.032258400811452925
74,341.45116841110314,0.006274509803921568,0.03226151208952218
75,341.68968630018674,0.006797385620915032,0.032141773620251404
76,341.9282041892703,0.006797385620915032,0.03196049814030921
77,342.1667220783538,0.006797385620915032,0.03178717542901952
78,342.4052399674374,0.006797385620915032,0.03166701110265833
79,342.64375785652095,0.006143790849673203,0.031610771884401846
80,342.88227574560455,0.00522875816993464,0.03160894429167428
81,343.1207936346881,0.006274509803921568,0.03165936664186739
82,343.3593115237717,0.006405228758169935,0.03176106720446442
83,343.5978294128553,0.007058823529411764,0.03190631686147023
84,343.8363473019388,0.007058823529411764,0.03206567017024635
85,344.07486519102235,0.006797385620915033,0.03219463438734855
86,344.31338308010595,0.006797385620915033,0.03225686561939518
87,344.55190096918955,0.007058823529411764,0.03222322795477069
88,344.7904188582731,0.009019607843137255,0.032068264454190726
89,345.0289367473566,0.007581699346405228,0.031803728587135344
90,345.2674546364402,0.007058823529411763,0.03149814855062907
91,345.50597252552376,0.006666666666666665,0.031271401870916996
92,345.74449041460736,0.00588235294117647,0.031231584396634707
93,345.9830083036909,0.005620915032679738,0.031416844898446976
94,346.2215261927745,0.0058823529411764705,0.03177950571716353
95,346.46004408185803,0.0058823529411764705,0.032207200768925116
96,346.6985619709416,0.007058823529411763,0.03257944349646156
97,346.93707986002516,0.006405228758169933,0.032835608508093736
98,347.17559774910876,0.006928104575163398,0.032988838994502875
